ng-3-0_0_0_1_1_0,ng-3-0_0_0_1_1_0-cum,ng-3-0_0_0_1_1_0-tier,ng-3-0_0_0_0_1_0,ng-3-0_0_0_0_1_0-cum,ng-3-0_0_0_0_1_0-tier,ng-3-2_0_0_1_1_0,ng-3-2_0_0_1_1_0-cum,ng-3-2_0_0_1_1_0-tier,ng-3-2_0_0_0_1_0,ng-3-2_0_0_0_1_0-cum,ng-3-2_0_0_0_1_0-tier,ng-3-0_1_0_0_1_0,ng-3-0_1_0_0_1_0-cum,ng-3-0_1_0_0_1_0-tier,ng-3-0_1_0_1_1_0,ng-3-0_1_0_1_1_0-cum,ng-3-0_1_0_1_1_0-tier
,,,-50.92436733986853,37.64705882352941,3.0,183.36123613548966,84.21052631578948,4.0,-87.82096927746048,1.9704433497536946,3,168.85822269460297,100.0,4.0,,,
,,,-50.92436733986851,38.82352941176471,3.0,193.77805002793644,86.8421052631579,4.0,-87.82096927746043,2.0320197044334978,3,,,,,,
,,,-50.92436733986851,40.0,3.0,213.910383718823,89.47368421052633,4.0,-87.82096927746043,2.0935960591133007,3,,,,,,
,,,-50.924367339868475,41.1764705882353,3.0,231.80634269460293,92.10526315789474,4.0,-86.44429861079377,2.1551724137931036,3,,,,,,
,,,-50.924367339868475,42.35294117647059,3.0,234.16147836126964,94.73684210526316,4.0,-86.44429861079375,2.2167487684729066,3,,,,,,
,,,-49.42878267320184,43.529411764705884,3.0,235.19883571882292,97.36842105263159,4.0,-84.46625361079381,2.2783251231527095,3,,,,,,
,,,-49.42878267320175,44.70588235294118,3.0,305.664469218823,100.0,4.0,-79.23731861079382,2.3399014778325125,3,,,,,,
,,,-43.05990500653519,45.88235294117647,3.0,,,,-75.54194267320186,2.4014778325123154,3,,,,,,
,,,-42.18248894412729,47.05882352941177,3.0,,,,-68.3654013398686,2.4630541871921183,3,,,,,,
,,,-40.748951277460556,48.23529411764706,3.0,,,,-68.36540133986857,2.5246305418719213,3,,,,,,
,,,-20.24446861079388,49.411764705882355,3.0,,,,-68.36540133986857,2.586206896551724,3,,,,,,
,,,-10.793667944127131,50.58823529411765,3.0,,,,-68.36540133986855,2.647783251231527,3,,,,,,
,,,32.56569072253956,51.76470588235294,3.0,,,,-68.36540133986855,2.70935960591133,3,,,,,,
,,,64.88204105587278,52.94117647058824,3.0,,,,-68.36540133986855,2.770935960591133,3,,,,,,
,,,72.93051077841217,54.11764705882353,1.0,,,,-68.36540133986854,2.832512315270936,3,,,,,,
,,,87.14664005587275,55.294117647058826,3.0,,,,-68.36540133986854,2.894088669950739,3,,,,,,
,,,118.76975588548957,56.470588235294116,4.0,,,,-68.36540133986854,2.955665024630542,3,,,,,,
,,,118.76975588548964,57.64705882352941,4.0,,,,-68.36540133986853,3.0172413793103448,3,,,,,,
,,,118.76975588548966,58.82352941176471,4.0,,,,-68.36540133986853,3.0788177339901477,3,,,,,,
,,,119.49840469460302,60.0,4.0,,,,-68.36540133986851,3.1403940886699506,3,,,,,,
,,,127.70841780215625,61.1764705882353,4.0,,,,-68.36540133986851,3.2019704433497536,3,,,,,,
,,,127.70841780215633,62.35294117647059,4.0,,,,-68.36540133986851,3.2635467980295565,3,,,,,,
,,,127.70841780215638,63.529411764705884,4.0,,,,-68.36540133986851,3.32512315270936,3,,,,,,
,,,128.42795869460303,64.70588235294117,4.0,,,,-68.3654013398685,3.386699507389163,3,,,,,,
,,,130.89680102793645,65.88235294117648,4.0,,,,-68.3654013398685,3.4482758620689657,3,,,,,,
,,,131.00100936126978,67.05882352941177,4.0,,,,-68.3654013398685,3.5098522167487687,3,,,,,,
,,,131.0010093612698,68.23529411764706,4.0,,,,-68.36540133986847,3.5714285714285716,3,,,,,,
